phenotype,description,Sex,Total Observed scale h2,Total Observed scale h2_se,Total Liability scale h2,Total Liability scale h2_se,-log10(h2_p),Intercept,Intercept_se,Ratio,Lambda GC,Mean Chi^2,prev(%),n_missing,n_non_missing,n_cases,n_controls,UK Biobank Data Showcase Link,notes
5254_irnt,"Intra-ocular pressure, corneal-compensated (right)",both_sexes,0.1104,0.0096,0.1104,0.0096,30.18,1.06,0.0097,0.2215 (0.0378),1.2,1.26,,284564,76630,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5254,corneal-compensated intraocular pressure for right eye
30200_irnt,Neutrophill percentage,both_sexes,0.1103,0.0089,0.1103,0.0089,34.85,1.21,0.0185,0.1893 (0.0168),1.51,2.1,,11333,349861,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30200,"Result of ""Neutrophils Percentage"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Neutrophils (Percentage) is calculated as the proportion of neutrophils in the leukocytes."
1717,Skin colour,both_sexes,0.1058,0.0257,0.1058,0.0257,4.72,1.11,0.0126,0.1087 (0.0128),1.33,1.99,,4664,356530,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1717,"ACE touchscreen question ""What best describes the colour of your skin without tanning?"" If the participant activated the Help button they were shown the message: If you are unsure, please provide an estimate or select Do not know. "
4079_irnt,"Diastolic blood pressure, automated reading",both_sexes,0.1053,0.0053,0.1053,0.0053,87.41,1.17,0.0147,0.1697 (0.0147),1.65,2.0,,21032,340162,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4079,"Blood pressure, automated reading, diastolic. Two measures of blood pressure were taken a few moments apart. Range returned by the Omron device is is 0-255"
5262_irnt,"Intra-ocular pressure, corneal-compensated (left)",both_sexes,0.1034,0.0092,0.1034,0.0092,28.88,1.06,0.0094,0.2548 (0.0369),1.18,1.25,,284684,76510,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5262,corneal-compensated intraocular pressure for left eye
1747_4,"Hair colour (natural, before greying): Dark brown",both_sexes,0.1029,0.0227,0.1679,0.0371,5.54,1.12,0.0129,0.1257 (0.0139),1.26,1.93,37.37,924,360270,134627.0,225643.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1747,"ACE touchscreen question ""What best describes your natural hair colour? (If your hair colour is grey, the colour before you went grey)"" If the participant activated the Help button they were shown the message: If you are unsure, please select the colour closest to your natural adult hair colour or select Do not know. "
22501_irnt,Year ended full time education,both_sexes,0.099,0.0072,0.099,0.0072,42.59,1.07,0.0078,0.2359 (0.0281),1.25,1.28,,269417,91777,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22501,Year ended full time education
4194_irnt,Pulse rate,both_sexes,0.0987,0.0106,0.0987,0.0106,20.2,1.07,0.0098,0.1911 (0.0285),1.22,1.34,,242344,118850,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4194,Pulse rate during arterial stiffness measurement
6150_100,Vascular/heart problems diagnosed by doctor: None of the above,both_sexes,0.0963,0.0045,0.168,0.0079,101.18,1.15,0.0144,0.1623 (0.0152),1.6,1.95,70.35,774,360420,253565.0,106855.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6150,"ACE touchscreen question ""Has a doctor ever told you that you have had any of the following conditions? (You can select more than one answer)"" The following checks were performed: If code -7 was selected, then no additional choices were allowed. If code -3 was selected, then no additional choices were allowed. If the participant activated the Help button they were shown the message: If you do not know if you have had any of the listed conditions, enter None of the above. You can check this with an interviewer later in the visit. "
93_irnt,"Systolic blood pressure, manual reading",both_sexes,0.0963,0.0149,0.0963,0.0149,10.29,1.02,0.0064,0.1955 (0.0731),1.08,1.09,,329913,31281,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=93,"Blood pressure, manual reading, systolic. Two measures of blood pressure were taken a few moments apart. A manual sphygmometer was used if the standard automated device could not be employed."
1180,Morning/evening person (chronotype),both_sexes,0.0917,0.004,0.0917,0.004,115.88,1.12,0.011000000000000001,0.1576 (0.014),1.59,1.78,,38706,322488,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1180,"ACE touchscreen question ""Do you consider yourself to be?"" If the participant activated the Help button they were shown the message: If this varies a lot, answer this question in relation to the last 4 weeks. "
1747_1,"Hair colour (natural, before greying): Blonde",both_sexes,0.0914,0.0157,0.2478,0.0426,8.54,1.13,0.0152,0.1583 (0.0182),1.26,1.84,11.43,924,360270,41178.0,319092.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1747,"ACE touchscreen question ""What best describes your natural hair colour? (If your hair colour is grey, the colour before you went grey)"" If the participant activated the Help button they were shown the message: If you are unsure, please select the colour closest to your natural adult hair colour or select Do not know. "
2375,Relative age of first facial hair,male,0.0909,0.0068,0.0909,0.0068,40.33,1.1,0.0109,0.2193 (0.0253),1.29,1.43,,5550,161470,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2375,"ACE touchscreen question ""When did you start to grow facial hair?"" If the participant activated the Help button they were shown the message: If you are unsure, please provide an estimate or select Do not know. "
3476,Difficulty not smoking for 1 day,both_sexes,0.0901,0.0174,0.0901,0.0174,6.95,1.0,0.006,0,1.04,1.05,,335707,25487,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3476,"ACE touchscreen question ""How easy or difficult would you find it to go without smoking for a whole day?"" ~F3476~ was collected from participants who indicated they currently smoke tobacco on most or all days, as defined by their answers to ~F1239~ and currently smoke manufactured or hand-rolled cigarettes, as defined by their answers to ~F1239~"
20127_irnt,Neuroticism score,both_sexes,0.0876,0.0049,0.0876,0.0049,71.05,1.09,0.011000000000000001,0.1364 (0.0159),1.5,1.69,,68188,293006,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20127,"This is an externally derived summary score of neuroticism, based on 12 neurotic behaviour domains as reported from fields 1920, 1930, 1940, 1950, 1960, 1970, 1980, 1990, 2000, 2010, 2020 and 2030 from the touchscreen questionnaire at baseline. Participants were assessed for twelve domains of neurotic behaviours via the touchscreen questionnaire. Questions included: Does your mood often go up and down? Do you ever feel 'just miserable' for no reason? Are you an irritable person? Are your feelings easily hurt? Do you often feel 'fed-up'? Would you call yourself a nervous person? Are you a worrier? Would you call yourself tense or 'highly strung'? Do you worry too long after an embarrassing experience? Do you suffer from 'nerves'? Do you often feel lonely? Are you often troubled by feelings of guilt? Participants could answer Yes, No, Do not know or Prefer not to answer. This field summarises the number of Yes answers across these twelve questions into a single integer score for each participant. This derived data field has come from Professor Jill Pell from the Institute of Health &amp; Wellbeing, University of Glasgow. Methods on how these fields were derived can be found in the Additional Resources tab."
3786_irnt,Age asthma diagnosed,both_sexes,0.0875,0.0213,0.0875,0.0213,4.7,1.03,0.006999999999999999,0.264 (0.0644),1.06,1.11,,324239,36955,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3786,"ACE touchscreen question ""What was your age when the asthma was first diagnosed?"" The following checks were performed: If answer If answer > Participants age then rejected If answer If answer > 69 then participant asked to confirm If the participant activated the Help button they were shown the message: If you are unsure, please provide an estimate or select Do not know. ~F3786~ was collected from participants who indicated they were told by a doctor that they have had asthma, as defined by their answers to ~F6152~"
47_irnt,Hand grip strength (right),both_sexes,0.0871,0.0043,0.0871,0.0043,90.8,1.15,0.0134,0.1775 (0.0155),1.62,1.86,,1465,359729,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=47,Right grip strength
46_irnt,Hand grip strength (left),both_sexes,0.0868,0.004,0.0868,0.004,103.99,1.15,0.0126,0.1701 (0.0147),1.63,1.86,,1490,359704,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=46,Left grip strength
6177_2,"Medication for cholesterol, blood pressure or diabetes: Blood pressure medication",male,0.0852,0.0053,0.1587,0.0099,57.72,1.09,0.0091,0.2066 (0.0216),1.31,1.42,24.79,1680,165340,40987.0,124353.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6177,"ACE touchscreen question ""Do you regularly take any of the following medications? (you can select more than one answer)"" The following checks were performed: If code -7 was selected, then no additional choices were allowed. If code -1 was selected, then no additional choices were allowed. If code -3 was selected, then no additional choices were allowed. If the participant activated the Help button they were shown the message: If you are not sure if you take any of the types of medications, enter Do not know. You will be asked to provide all of the medications that you take later in the visit. "
1737,Childhood sunburn occasions,both_sexes,0.0844,0.0153,0.0844,0.0153,7.76,1.08,0.0117,0.1334 (0.0186),1.33,1.63,,91460,269734,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1737,"ACE touchscreen question ""Before the age of 15, how many times did you suffer sunburn that was painful for at least 2 days or caused blistering?"" The following checks were performed: If answer If answer > 999 then rejected If answer > 20 then participant asked to confirm If the participant activated the Help button they were shown the message: If you are unsure, please provide an estimate or select Do not know. "
5157_irnt,6mm asymmetry index (left),both_sexes,0.0841,0.0128,0.0841,0.0128,10.6,1.03,0.0071,0.2882 (0.0623),1.09,1.11,,320511,40683,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5157,This is the asymmetry index as part of the keratometry result taken at 6mm for the left eye
4282,Maximum digits remembered correctly,both_sexes,0.0839,0.0136,0.0839,0.0136,9.46,1.03,0.0071,0.3016 (0.0689),1.1,1.1,,324310,36884,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4282,Longest number correctly recalled during the numeric memory test. A value of -1 is recorded if the participant chose to abandon the test before completing the first round.
94_irnt,"Diastolic blood pressure, manual reading",both_sexes,0.0836,0.013999999999999999,0.0836,0.013999999999999999,8.93,1.01,0.0065,0.1862 (0.0842),1.07,1.08,,329913,31281,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=94,"Blood pressure, manual reading, diastolic. Two measures of blood pressure were taken a few moments apart. A manual sphygmometer was used if the standard automated device could not be employed."
6153_2,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Blood pressure medication",female,0.0831,0.0063,0.1813,0.0138,39.3,1.09,0.0119,0.1888 (0.0253),1.32,1.47,17.35,1028,193146,33518.0,159628.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6153,"ACE touchscreen question ""Do you regularly take any of the following medications? (You can select more than one answer)"" The following checks were performed: If code -7 was selected, then no additional choices were allowed. If code -1 was selected, then no additional choices were allowed. If code -3 was selected, then no additional choices were allowed. If the participant activated the Help button they were shown the message: If you are not sure if you take any of the types of medications, enter Do not know. You will be asked to provide all of the medications that you take later in the visit. "
1070,Time spent watching television (TV),both_sexes,0.0817,0.0034,0.0817,0.0034,127.16,1.13,0.0112,0.1701 (0.0146),1.6,1.77,,19335,341859,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1070,"ACE touchscreen question ""In a typical DAY, how many hours do you spend watching TV? (Put 0 if you do not spend any time doing it)"" The following checks were performed: If answer If answer > 24 then rejected If answer > 8 then participant asked to confirm If the participant activated the Help button they were shown the message: If the time you spend watching TV varies a lot, give the average time for a 24 hour day in the last 4 weeks. "
6138_100,Qualifications: None of the above,both_sexes,0.0814,0.0035,0.1789,0.0077,119.22,1.14,0.0128,0.1772 (0.0164),1.6,1.78,17.09,3645,357549,61093.0,296456.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6138,"ACE touchscreen question ""Which of the following qualifications do you have? (You can select more than one)"" The following checks were performed: If code -7 was selected, then no additional choices were allowed. If code -3 was selected, then no additional choices were allowed. If the participant activated the Help button they were shown the message: A levels/AS levels and equivalent includes the Higher School Certificate O levels/GCSEs and equivalent includes the School Certificate. "
20022_irnt,Birth weight,both_sexes,0.081,0.0059,0.081,0.0059,42.47,1.1,0.0129,0.2156 (0.0266),1.32,1.48,,155719,205475,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20022,"Participants were asked to enter their own birth-weight. The weight could be entered either in Kg or in Imperial pounds+ounces. Values entered as Imperial units are held in ~F121~ and ~F122~, and their values have been converted into Kg and incorporated into this field."
845,Age completed full time education,both_sexes,0.0805,0.0044,0.0805,0.0044,74.35,1.1,0.0105,0.188 (0.0196),1.44,1.54,,120647,240547,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=845,"ACE touchscreen question ""At what age did you complete your continuous full time education?"" The following checks were performed: If answer If answer > Participants age then rejected If answer > 40 then participant asked to confirm If the participant activated the Help button they were shown the message: Please give the age that you completed 'continuous' full time education. For example, if you stopped your studies when you were 17 years old with the intention that you had completed your studies but then returned to full time studies when you were 24, enter 17. However if you only temporarily stopped your studies at 17 with the intention that you would return to studies (for instance a gap year) and then completed your full time education at 21, enter 21. ~F845~ was collected from all participants except those who indicated they have a College or University degree, as defined by their answers to ~F6138~"
3064_irnt,Peak expiratory flow (PEF),both_sexes,0.0786,0.0044,0.0786,0.0044,70.95,1.13,0.0119,0.1734 (0.0163),1.51,1.73,,31790,329404,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3064,Peak expiratory flow during blow
5012,FI8 : chained arithmetic,both_sexes,0.0784,0.0074,0.1298,0.0122,25.8,1.02,0.0073,0.1389 (0.0457),1.14,1.16,64.85,285502,75692,49086.0,26606.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5012,"ACE touchscreen question ""If David is twenty-one and Owen is nineteen and Daniel is nine years younger than David, what is half their combined age?"". Part 8 of Fluid Intelligence test. Offered choice from 25, 26, 27, 28 or 29."
3456,Number of cigarettes currently smoked daily (current cigarette smokers),both_sexes,0.0772,0.0208,0.0772,0.0208,3.99,1.01,0.006,0.1666 (0.1125),1.04,1.05,,335846,25348,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3456,"ACE touchscreen question ""About how many cigarettes do you smoke on average each day? "" The following checks were performed: If answer If answer > 150 then rejected If answer > 100 then participant asked to confirm If the participant activated the Help button they were shown the message: Count the total number of cigarettes (including both hand-rolled and manufactured cigarettes if both are smoked) For hand-rolled cigarettes: - One ounce of tobacco makes about 30 cigarettes - One gram of tobacco makes about 1 cigarette ~F3456~ was collected from participants who indicated they currently smoke tobacco on most or all days, as defined by their answers to ~F1239~ and currently smoke manufactured or hand-rolled cigarettes, as defined by their answers to ~F1239~"
2744,Birth weight of first child,female,0.0767,0.0058,0.0767,0.0058,39.5,1.08,0.0097,0.2128 (0.0275),1.25,1.35,,38972,155202,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2744,"ACE touchscreen question ""What was the birth weight of your first child in pounds? (do not include twins)"" The following checks were performed: If answer If answer > 16 then rejected If answer > 12 then participant asked to confirm If the participant activated the Help button they were shown the message: If you are unsure of the weight in pounds, here is a conversion table for pounds, grams and kilograms. Pounds Grams Kilograms 2 907 0.91 3 1361 1.36 4 1814 1.81 5 2268 2.27 6 2721 2.72 7 3175 3.18 8 3629 3.63 9 4082 4.08 10 4536 4.54 11 4990 4.99 12 5443 5.44 13 5897 5.90 14 6350 6.35 15 6804 6.80 An exact answer is not necessary. Please enter the birthweight to the closest pound. If your first birth was twins or other multiple birth, enter the birthweight of the first singleton birth. If you have only had twins or other multiple births then select Only twins. ~F2744~ was collected from women who indicated they had given birth to at least one child, as defined by their answers to ~F2734~"
